link,name,price,mrp,dicount-value,discount,delivery-text-msg,rating-text,rating-text-icon,rating-text-icon 2,img,not-available-text,delivery-pincode-text,site
https://www.croma.com/faber-jumbo-4bb-bk-ai-toughened-glass-top-4-burner-automatic-gas-stove-corrosion-resistance-black-/p/210987,"Faber Jumbo 4BB BK AI Toughened Glass Top 4 Burner Automatic Gas Stove (Corrosion Resistance, Black)","₹9,169","₹13,490","(Save ₹4,321)",32% Off,"Standard Delivery by Thur, 29th Aug",3.3,(),11,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1688417942/Croma%20Assets/Small%20Appliances/Stoves%20Cooktops/Images/210987_0_l2vcfa.png?tr=w-400,,,Croma
https://www.croma.com/faber-nexus-ind-ht905-crs-br-ci-ai-toughened-glass-top-5-burner-automatic-hob-cast-iron-pan-support-black-/p/230971,"Faber Nexus IND HT905 CRS BR CI AI Toughened Glass Top 5 Burner Automatic Hob (Cast Iron Pan Support, Black)","₹38,034","₹45,100","(Save ₹7,066)",16% Off,"Standard Delivery by Thur, 29th Aug",,,,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1721055018/Croma%20Assets/Small%20Appliances/Stoves%20Cooktops/Images/230971_0_dlu6bx.png?tr=w-400,,,Croma
https://www.croma.com/faber-fbimwo-glb-32l-built-in-microwave-oven-with-10-autocook-menus-black-/p/193175,FABER FBIMWO GLB 32L Built-in Microwave Oven with 10 Autocook Menus (Black),"₹54,699","₹64,990","(Save ₹10,291)",16% Off,"Standard Delivery by Thur, 29th Aug",,,,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1691179459/Croma%20Assets/Small%20Appliances/Microwave%20or%20OTG/Images/193175_0_smbvyw.png?tr=w-400,,,Croma
https://www.croma.com/faber-hood-sunny-75cm-1200m3-hr-ducted-auto-clean-wall-mounted-chimney-with-touch-control-black-/p/306389,FABER Hood Sunny 75cm 1200m3/hr Ducted Auto Clean Wall Mounted Chimney with Touch Control (Black),"₹15,489","₹28,490","(Save ₹13,001)",46% Off,"Standard Delivery by Thur, 29th Aug",,,,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1713532795/Croma%20Assets/Small%20Appliances/Electric%20Chimney/Images/306389_wyyuco.png?tr=w-400,,,Croma
https://www.croma.com/faber-bella-ht704-glass-top-4-burner-automatic-hob-full-brass-burners-black-/p/305678,"FABER Bella HT704 Glass Top 4 Burner Automatic Hob (Full Brass Burners, Black)","₹28,579","₹34,650","(Save ₹6,071)",18% Off,"Standard Delivery by Thur, 29th Aug",,,,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1717063559/Croma%20Assets/Small%20Appliances/Stoves%20Cooktops/Images/305678_0_oz0ebx.png?tr=w-400,,,Croma
https://www.croma.com/faber-6-5l-1750-watt-digital-air-fryer-with-8-preset-menus-silver-/p/306845,FABER 6.5L 1750 Watt Digital Air Fryer with 8 Preset Menus (Silver),"₹8,990","₹14,990","(Save ₹6,000)",40% Off,"Standard Delivery by Sat, 31st Aug",,,,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1716816141/Croma%20Assets/Small%20Appliances/Fryers%20and%20Grills/Images/306845_qbcwna.png?tr=w-400,,,Croma
https://www.croma.com/faber-2200w-3-in-1-sandwich-maker-with-nonstick-coating-plate-black-/p/306864,FABER 2200W 3-in-1 Sandwich Maker with Nonstick Coating Plate (Black),"₹4,200","₹5,990","(Save ₹1,790)",30% Off,"Standard Delivery by Sat, 31st Aug",,,,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1717554230/Croma%20Assets/Small%20Appliances/Toasters%20Sandwich%20Makers/Images/306864_asy9c4.png?tr=w-400,,,Croma
https://www.croma.com/faber-prince-plus-toughened-glass-top-3-burner-manual-hob-full-brass-burners-black-/p/305681,"FABER Prince Plus Toughened Glass Top 3 Burner Manual Hob (Full Brass Burners, Black)","₹9,929","₹12,990","(Save ₹3,061)",24% Off,"Standard Delivery by Thur, 29th Aug",,,,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1721055971/Croma%20Assets/Small%20Appliances/Stoves%20Cooktops/Images/305681_0_zmre9i.png?tr=w-400,,,Croma
https://www.croma.com/faber-bella-ht904-glass-top-4-burner-automatic-hob-flame-failure-device-black-/p/305674,"FABER Bella HT904 Glass Top 4 Burner Automatic Hob (Flame Failure Device, Black)","₹34,849","₹44,090","(Save ₹9,241)",21% Off,"Standard Delivery by Thur, 29th Aug",,,,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1710859772/Croma%20Assets/Small%20Appliances/Stoves%20Cooktops/Images/305674_xl68w7.png?tr=w-400,,,Croma
https://www.croma.com/faber-master-chef-1000-watt-4-jars-mixer-grinder-22000-rpm-dual-fan-cooling-black-white-/p/247843,"FABER Master Chef 1000 Watt 4 Jars Mixer Grinder (22000 RPM, Dual Fan Cooling, Black/White)","₹6,384","₹9,990","(Save ₹3,606)",36% Off,"Standard Delivery by Thur, 29th Aug",,,,https://media-ik.croma.com/prod/https://media.croma.com/image/upload/v1718945403/Croma%20Assets/Small%20Appliances/Food%20Processors/Images/247843_0_cwastw.png?tr=w-400,,,Croma
